Transaction Amount,Transaction Frequency,Recipient Verification Status,Recipient Blacklist Status,Device Fingerprinting,VPN or Proxy Usage,Geo-Location Flags,Behavioral Biometrics,Time Since Last Transaction,Social Trust Score,Account Age,High-Risk Transaction Times,Past Fraudulent Behavior Flags,Location-Inconsistent Transactions,Normalized Transaction Amount,Transaction Context Anomalies,Fraud Complaints Count,Merchant Category Mismatch,User Daily Limit Exceeded,Recent High-Value Transaction Flags,Label
234.63404498842954,2,verified,0,0,0,normal,0.6595012022487869,16.324051663191092,4.126625501345405,3.902858833783055,0,0,1,0.9445860504628796,2.712424614125785,0,0,0,0,0
1505.0607154587606,3,recently_registered,0,0,0,normal,-1.0712583398958146,26.766242472041863,7.925624180204305,4.882993740590909,0,0,0,0.4583322642980217,0.4544254392609991,0,0,0,0,0
658.3728467727246,7,verified,0,0,0,normal,1.3244766339842833,24.597381176166884,20.35260986813533,1.2718860827912881,0,0,0,0.47097155117015826,0.09161313043188105,0,0,0,1,0
456.4712768879766,0,recently_registered,0,0,0,normal,0.18050241892991176,27.07665677220338,5.292927825406157,1.1083315959681146,1,0,0,0.17075993335047635,0.973262093529353,0,0,0,0,0
84.81243523117314,0,recently_registered,0,0,0,normal,-1.0733596302495898,6.375815542911004,26.48816455427907,4.698065173323327,0,0,1,0.18685612674185165,-2.2278874615326454,0,0,1,1,0
84.7981459573026,1,recently_registered,0,1,0,normal,-2.270893658071969,10.306460426010478,85.29595269780536,3.5979082830514924,0,0,0,0.6124578100090057,-0.9384446286985483,2,0,0,0,0
29.919384304340337,1,verified,0,0,0,normal,1.262055470734566,8.264364270125446,26.24610299067064,1.4145421296861527,0,0,0,0.6360177291155147,0.44631269081773656,2,0,0,0,0
1005.6154322399698,0,verified,1,0,0,normal,-0.5967514543131509,16.37745554832295,81.60650481400485,2.8034401886272686,0,0,0,0.6491895101460291,0.16083230654738567,2,0,0,0,0
459.5410768136323,1,verified,0,0,1,normal,-0.7189863781439251,20.135228055099883,31.96923130692195,2.387993246952373,0,0,0,0.58700164900565,-1.6682214234450756,0,0,0,0,0
615.6250308522951,5,verified,1,1,0,normal,0.6963718955854489,12.461462406383557,43.76705830823665,3.6700878430960278,0,0,0,0.3103995160181207,1.2485528209651746,0,0,0,0,1
10.399653999569312,0,verified,0,0,0,normal,-1.2817209628852693,9.232273824683297,85.26015264777625,2.120665552336716,0,0,0,0.4759377586735135,0.550270128801795,0,0,0,0,0
1751.778737579156,6,recently_registered,0,0,0,normal,-0.5175045486842542,18.95788935554976,49.2623724835281,2.0326904201418743,0,0,0,0.14920024449017288,0.7476168671528949,1,1,0,0,0
893.2147716773376,3,recently_registered,1,0,0,normal,-0.6871850277544767,14.95023828966721,12.292160764015103,4.254319308350159,0,1,0,0.43627346349581114,-0.698999898766888,1,0,0,0,1
119.3438126244735,4,verified,0,0,0,normal,-0.12108993237777527,24.861609646205654,35.98385977596752,3.5356506435177186,0,0,0,0.7645015024392359,0.2724609268546961,0,1,0,0,0
100.33949437483169,0,recently_registered,0,0,0,normal,0.47265775027592705,1.6183054424666743,81.38269559227463,3.597158402475123,0,0,1,0.3579298597691256,0.7137013745919305,0,0,1,1,0
101.30571141612853,7,verified,0,0,0,normal,0.7742604477817232,22.082164631971928,7.083949727525274,1.359300478770632,0,0,0,0.4998205956326672,-1.317300842476869,0,0,0,0,0
181.37686473023857,4,verified,0,0,0,high-risk,0.5344806555643999,20.782888074761328,73.85396251843379,2.27800139820977,0,0,0,0.8306605340890554,-0.4057830653724654,0,0,0,0,0
371.9639154304272,0,verified,1,0,1,normal,1.2904448438352363,26.00099871140652,73.73024631608486,2.972688409849499,0,0,0,0.281572685445868,0.8115365848836633,0,0,0,0,1
282.76853339016833,2,verified,0,0,0,high-risk,-0.7694605622322396,25.348436457455065,44.4419914354662,1.2961537654437487,1,0,1,0.6421280803809157,-0.041694714589164,0,1,0,0,1
